CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
19,Male,52,23,29
20,Female,35,23,98
21,Male,35,24,35
22,Male,25,24,73
23,Female,46,25,5
24,Male,31,25,73
25,Female,54,28,14
26,Male,29,28,82
27,Female,45,28,32
28,Male,35,28,61
29,Female,40,29,31
30,Female,23,29,87
31,Male,60,30,4
32,Female,21,30,73
33,Male,53,33,4
34,Male,18,33,92
35,Female,49,33,14
36,Female,21,33,81
37,Female,42,34,17
38,Female,30,34,73
39,Female,36,37,26
40,Female,20,37,75
41,Female,65,38,35
42,Male,24,38,92
43,Male,48,39,36
44,Female,31,39,61
45,Female,49,39,28
46,Female,24,39,65
47,Female,50,40,55
48,Female,27,40,47
49,Female,29,40,42
50,Female,31,40,42
51,Female,49,42,52
52,Male,33,42,60
53,Female,31,43,54
54,Female,59,43,60
55,Female,50,43,45
56,Male,47,43,41
57,Female,51,44,50
58,Male,69,44,46
59,Female,27,46,51
60,Male,53,46,46
61,Male,70,46,56
62,Male,19,46,55
63,Female,67,47,52
64,Female,54,47,59
65,Male,63,48,51
66,Male,18,48,59
67,Female,43,48,50
68,Female,68,48,48
69,Male,19,48,59
70,Female,32,48,47
71,Male,70,49,55
72,Female,47,49,42
73,Female,60,50,49
74,Female,60,50,56
75,Male,59,54,47
76,Male,26,54,54
77,Female,45,54,53
78,Male,40,54,48
79,Female,23,54,52
80,Female,49,54,42
81,Female,57,55,51
82,Male,38,55,59
83,Male,67,59,45
84,Female,46,59,41
85,Male,48,59,49
86,Female,55,59,56
87,Female,22,59,47
88,Female,34,59,42
89,Female,50,60,52
90,Female,68,60,42
91,Female,18,60,59
92,Female,48,60,51
93,Female,40,60,55
94,Male,32,60,47
95,Male,24,62,49
96,Female,47,62,59
97,Female,27,62,55
98,Female,48,62,56
99,Female,20,62,54
100,Female,23,62,42
101,Female,49,63,50
102,Female,67,63,46
103,Female,32,63,50
104,Male,55,63,48
105,Female,52,63,52
106,Male,35,63,60
107,Female,45,63,46
108,Male,35,63,59
109,Male,61,64,50
110,Female,28,64,42
111,Male,28,65,48
112,Female,48,65,50
113,Female,32,65,43
114,Male,34,65,59
115,Female,34,65,47
116,Female,43,67,51
117,Male,39,67,59
118,Female,44,67,63
119,Female,38,67,43
120,Female,47,67,54
121,Male,27,67,44
122,Male,37,67,46
123,Female,30,67,50
124,Female,34,68,48
125,Male,30,68,52
126,Female,56,68,60
127,Female,29,68,43
128,Male,19,68,57
129,Male,31,68,56
130,Male,50,69,49
131,Female,36,69,42
132,Female,42,69,53
133,Male,33,69,50
134,Female,36,69,60
135,Male,32,70,43
136,Female,40,70,46
137,Male,28,70,45
138,Female,36,70,57
139,Female,36,70,55
140,Female,52,71,52
141,Female,30,71,49
142,Female,58,71,60
143,Female,27,71,60
144,Male,59,71,37
145,Female,35,71,40
146,Female,37,71,42
147,Female,32,71,52
148,Female,46,71,55
149,Female,29,71,47
150,Female,41,71,56
151,Female,54,71,44
152,Female,29,71,46
153,Female,38,71,48
154,Female,47,71,59
155,Male,56,72,37
156,Male,40,72,48
157,Female,36,72,41
158,Female,32,72,60
159,Female,40,72,42
160,Female,28,72,49
161,Male,36,72,52
162,Male,36,72,60
163,Male,52,73,42
164,Female,30,73,41
165,Male,58,73,50
166,Female,27,73,55
167,Male,59,73,54
168,Female,35,73,43
169,Male,37,73,56
170,Female,52,74,45
171,Female,35,74,48
172,Female,45,74,54
173,Female,34,74,42
174,Female,48,74,46
175,Female,52,74,59
176,Female,27,74,55
177,Male,43,74,58
178,Female,35,75,40
179,Female,57,75,47
180,Female,32,75,48
181,Male,34,75,52
182,Female,65,75,53
183,Male,20,75,58
184,Female,43,75,40
185,Female,47,75,43
186,Female,27,75,48
187,Female,48,75,52
188,Female,43,76,48
189,Female,54,76,40
190,Male,19,76,58
191,Female,35,77,42
192,Female,57,77,48
193,Male,32,77,56
194,Male,28,77,57
195,Male,43,77,50
196,Male,32,77,59
197,Female,25,77,50
198,Female,39,78,59
199,Male,29,78,47
200,Female,40,78,49
